iter	Passed	Remaining
703	2150	904
704	2153	901
705	2154	897
706	2156	893
707	2158	890
708	2159	886
709	2161	882
710	2163	879
711	2164	875
712	2165	871
713	2167	868
714	2168	864
715	2170	860
716	2173	857
717	2177	855
718	2180	852
719	2183	849
720	2186	846
721	2189	843
722	2192	839
723	2195	836
724	2197	833
725	2199	829
726	2201	826
727	2203	823
728	2205	819
729	2207	816
730	2210	813
731	2212	810
732	2215	806
733	2217	803
734	2219	800
735	2220	796
736	2222	793
737	2225	790
738	2227	786
739	2230	783
740	2233	780
741	2236	777
742	2239	774
743	2243	771
744	2246	768
745	2249	765
746	2252	763
747	2255	759
748	2258	756
749	2261	753
750	2265	751
751	2268	748
752	2271	745
753	2274	742
754	2277	739
755	2281	736
756	2284	733
757	2286	729
758	2288	726
759	2290	723
760	2293	720
761	2295	716
762	2298	713
763	2300	710
764	2302	707
765	2305	704
766	2309	701
767	2312	698
768	2315	695
769	2318	692
770	2321	689
771	2325	686
772	2328	683
773	2330	680
774	2333	677
775	2337	674
776	2340	671
777	2343	668
778	2346	665
779	2350	662
780	2353	659
781	2356	656
782	2359	654
783	2363	651
784	2366	648
785	2369	645
786	2372	642
787	2376	639
788	2379	636
789	2382	633
790	2386	630
791	2389	627
792	2391	624
793	2394	621
794	2397	618
795	2401	615
796	2404	612
797	2407	609
798	2410	606
799	2413	603
800	2417	600
801	2420	597
802	2423	594
803	2426	591
804	2430	588
805	2433	585
806	2436	582
807	2438	579
808	2441	576
809	2444	573
810	2447	570
811	2450	567
812	2453	564
813	2456	561
814	2459	558
815	2462	555
816	2466	552
817	2468	549
818	2471	546
819	2473	542
820	2475	539
821	2477	536
822	2480	533
823	2482	530
824	2484	526
825	2485	523
826	2487	520
827	2490	517
828	2493	514
829	2495	511
830	2497	507
831	2500	504
832	2503	501
833	2506	498
834	2509	495
835	2512	492
836	2515	489
837	2518	486
838	2521	483
839	2525	480
840	2527	477
841	2530	474
842	2532	471
843	2536	468
844	2539	465
845	2542	462
846	2545	459
847	2548	456
848	2550	453
849	2553	450
850	2556	447
851	2559	444
852	2562	441
853	2564	438
854	2567	435
855	2571	432
856	2574	429
857	2577	426
858	2580	423
859	2583	420
860	2585	417
861	2588	414
862	2591	411
863	2594	408
864	2597	405
865	2600	402
866	2603	399
867	2606	396
868	2610	393
869	2613	390
870	2616	387
871	2619	384
872	2622	381
873	2625	378
874	2628	375
875	2632	372
876	2635	369
877	2638	366
878	2642	363
879	2645	360
880	2648	357
881	2651	354
882	2655	351
883	2660	349
884	2663	346
885	2666	343
886	2668	339
887	2670	336
888	2672	333
889	2674	330
890	2677	327
891	2679	324
892	2683	321
893	2686	318
894	2689	315
895	2693	312
896	2696	309
897	2699	306
898	2703	303
899	2706	300
900	2709	297
901	2712	294
902	2714	291
903	2717	288
904	2720	285
905	2724	282
906	2727	279
907	2730	276
908	2733	273
909	2737	270
910	2740	267
911	2743	264
912	2746	261
913	2749	258
914	2753	255
915	2757	252
916	2760	249
917	2764	246
918	2767	243
919	2770	240
920	2773	237
921	2776	234
922	2779	231
923	2782	228
924	2785	225
925	2789	222
926	2792	219
927	2795	216
928	2798	213
929	2802	210
930	2805	207
931	2808	204
932	2811	201
933	2814	198
934	2817	195
935	2821	192
936	2824	189
937	2827	186
938	2830	183
939	2833	180
940	2837	177
941	2840	174
942	2843	171
943	2846	168
944	2849	165
945	2852	162
946	2856	159
947	2859	156
948	2862	153
949	2865	150
950	2868	147
951	2870	144
952	2873	141
953	2876	138
954	2879	135
955	2882	132
956	2886	129
957	2889	126
958	2892	123
959	2895	120
960	2898	117
961	2901	114
962	2904	111
963	2907	108
964	2910	105
965	2912	102
966	2915	99
967	2918	96
968	2921	93
969	2925	90
970	2928	87
971	2931	84
972	2934	81
973	2937	78
974	2940	75
975	2944	72
976	2947	69
977	2950	66
978	2953	63
979	2956	60
980	2960	57
981	2962	54
982	2965	51
983	2968	48
984	2972	45
985	2975	42
986	2979	39
987	2982	36
988	2986	33
989	2989	30
990	2992	27
991	2996	24
992	2999	21
993	3002	18
994	3006	15
995	3009	12
996	3013	9
997	3016	6
998	3019	3
999	3023	0
